Country,Nitrogen Oxide,Sulphur Dioxide,Carbon Monoxide,Organic Carbon,NMVOCs,Black Carbon,Ammonia
_World,97207281.40,71657163.15,527266937.80,13568072.79,143397859.20,5741293.44,61420591.28
Afghanistan,480669.59,327818.55,1055394.01,42136.77,269602.59,14917.44,185026.85
Albania,23371.85,11538.71,50953.50,2645.76,25480.26,945.79,44259.67
Algeria,487160.68,66457.71,719509.85,92518.06,709517.85,69293.18,113819.64
American Samoa,245.68,389.74,671.99,27.00,294.80,13.72,178.32
Angola,133085.00,77387.41,2134641.75,63480.04,963923.67,27555.36,174625.63
Antigua and Barbuda,3992.01,554.38,11619.69,72.32,2936.42,34.83,378.88
Argentina,1031848.73,108723.70,3081910.04,40868.61,721723.08,31926.06,508067.51
Armenia,20617.45,53291.32,31913.77,2731.43,25765.12,612.40,17384.98
Aruba,3113.96,24001.13,18350.18,123.47,4481.99,124.05,284.64
Australia,1097491.39,1070816.80,1873784.77,25234.84,824892.33,25243.40,575909.04
Austria,126545.69,12432.52,510978.53,15650.71,107020.94,3985.07,72105.98
Azerbaijan,85025.97,29274.90,169445.37,35808.06,174292.18,6282.85,74185.84
Bahamas,17822.72,2169.67,63787.36,189.51,13931.98,117.24,1795.73
Bahrain,53378.67,41478.34,258296.82,564.62,44947.02,1469.08,2102.03
Bangladesh,807382.49,282452.64,3459258.93,134107.23,965235.10,49092.55,1064109.38
Barbados,11052.13,1457.85,30383.35,216.54,8211.48,97.90,1893.43
Belarus,172671.92,68802.51,512639.86,20040.32,278191.67,8864.43,235294.08
Belgium,156603.97,35271.64,289331.85,9091.71,106895.09,3944.09,90901.46
Belize,4920.06,633.95,21559.99,530.36,5666.82,114.34,2312.49
Benin,84113.58,12320.60,1243741.99,26364.81,336977.21,9612.38,65408.72
Bermuda,2788.35,421.59,7552.66,36.83,2012.64,23.48,160.04
Bhutan,21847.00,8851.82,274623.59,1362.76,47324.35,470.02,49040.00
Bolivia,130646.30,54564.80,671104.12,9698.24,182506.90,5538.98,147241.15
Bosnia and Herzegovina,69689.78,320466.19,534410.86,8514.55,79667.06,1861.46,37459.59
Botswana,49170.33,71414.78,276254.31,9207.44,58723.01,4077.16,20037.52
Brazil,3098611.95,1522167.98,12888700.06,440078.81,3810192.56,150193.44,3151941.09
British Virgin Islands,1289.07,186.60,2413.46,37.73,578.87,14.00,79.16
Brunei,8673.89,13212.88,12131.59,3358.74,40279.40,1567.69,9645.02
Bulgaria,76367.53,70092.27,220490.18,14002.62,71818.97,3122.02,74386.64
Burkina Faso,55449.21,12310.69,1189485.70,63292.30,304986.65,17931.13,164387.22
Burundi,11851.64,2749.85,418094.38,38753.82,119778.71,10538.27,46783.51
Cambodia,211588.46,67094.55,2594187.26,49428.24,562514.70,14641.60,179382.08
Cameroon,70556.17,29956.88,1287148.89,80585.40,334564.82,25384.09,144739.84
Canada,1686506.97,809870.48,5582268.10,68779.08,1897965.72,20176.99,488018.90
Cape Verde,9149.53,2055.93,32383.31,1570.84,8930.71,714.82,2192.41
Cayman Islands,4031.49,664.56,9680.02,39.35,2286.05,31.89,142.56
Central African Republic,9205.05,2059.03,155332.08,16814.13,50558.29,4614.58,53925.73
Chad,20880.32,4583.18,631885.32,42773.96,178050.19,13842.31,109453.66
Chile,487279.18,519365.99,2038798.15,51316.28,419016.16,26914.06,202648.21
China,22635845.64,12137897.71,148447211.50,1926778.28,29404853.33,1212819.81,12277069.70
Colombia,483540.48,186913.10,3087092.22,63649.97,891802.53,26898.86,443831.84
Comoros,2238.00,898.07,34735.48,2854.62,10682.27,928.24,2938.73
Congo,27842.09,8665.52,409972.21,17190.39,165757.77,6608.73,23074.17
Cook Islands,381.37,380.22,346.07,26.79,146.26,17.26,241.55
Costa Rica,51175.22,10039.18,415852.37,7805.46,108927.92,3598.61,53031.30
Cote d'Ivoire,71646.25,15836.12,1933571.17,51369.45,699224.75,18060.52,136336.12
Croatia,46964.57,10013.22,184770.34,16942.72,60134.04,2763.43,36016.27
Cuba,146872.42,326469.80,531629.98,13410.43,157097.10,5428.40,81209.65
Curacao,15776.24,31306.24,27801.38,155.62,3649.16,425.59,305.58
Cyprus,12452.64,15998.95,12676.11,700.47,12043.77,462.84,7322.74
Czechia,153301.69,78386.61,764587.65,38611.45,211902.59,6662.65,97165.76
Democratic Republic of Congo,128524.41,49680.78,6744084.16,292874.96,1844560.49,77348.35,394995.72
Denmark,87000.75,9293.66,215131.59,11358.82,98715.24,2906.97,101115.34
Djibouti,10192.72,2482.35,60944.49,3217.62,17310.03,1158.32,4909.76
Dominica,1224.33,137.70,8737.03,48.63,2087.99,14.34,422.86
Dominican Republic,184605.22,122050.43,609783.37,13015.27,173744.94,5202.85,106677.62
